timestamp,gesture_type,angle_index,angle_middle,angle_ring,angle_pinky,angle_baseline1,angle_middle_to_ring,angle_base_middle_to_ring,angle_middle_to_baseline1,dis_index_tip_to_base,dis_middle_tip_to_base,dis_ring_tip_to_base,dis_pinky_tip_to_base,distancesAggregated,dirV_index_x,dirV_index_y,dirV_middle_x,dirV_middle_y,dirV_ring_x,dirV_ring_y,dirV_pinky_x,dirV_pinky_y,dirV_middle_base_x,dirV_middle_base_y,dirV_ring_base_x,dirV_ring_base_y,dot_index_middle,dot_index_ring,dot_index_pinky,dot_middle_ring,dot_middle_pinky,dot_ring_pinky
4.0,1.0,47.863934602011575,54.46414339630089,69.35972557502174,102.89506439668128,0.0,14.895582178720845,10.659753902400222,54.46414339630089,0.2511331204769753,0.2174168339564058,0.2138793420409442,0.1849145524450545,0.116691345886369,-0.005567677113887344,0.9999845003656584,-0.1204697654299214,0.99271699674039,-0.371607610890019,0.9283898876703753,-0.8226418660276359,0.5685599003258752,-0.0902915322200815,0.9959153775343315,-0.2729541660458944,0.9620270387251028,0.0002785825674678241,0.00029759024590703196,0.0001493764282853876,0.00017456622440548204,9.766985684489632e-05,0.0001399330803177897
4.0,1.0,47.863934602011575,54.46414339630089,69.35972557502174,102.89506439668128,0.0,14.895582178720845,10.659753902400222,54.46414339630089,0.2511331204769753,0.2174168339564058,0.2138793420409442,0.1849145524450545,0.116691345886369,-0.005567677113887344,0.9999845003656584,-0.1204697654299214,0.99271699674039,-0.371607610890019,0.9283898876703753,-0.8226418660276359,0.5685599003258752,-0.0902915322200815,0.9959153775343315,-0.2729541660458944,0.9620270387251028,0.0002785825674678241,0.00029759024590703196,0.0001493764282853876,0.00017456622440548204,9.766985684489632e-05,0.0001399330803177897
5.0,1.0,13.401310789430132,33.47887792178552,39.98620688445334,51.18140350208259,0.0,6.507328962667829,27.13006191997192,33.47887792178552,0.38537806930139384,0.36182153206537254,0.3382278539258271,0.28779613421672406,0.1690020996425487,0.6104497546321057,-0.792054983615154,0.3014458199401062,-0.9534833074787606,0.19144516105566578,-0.9815033114097833,-0.0027587066989242315,-0.9999961947614346,0.6723508247688713,-0.7402326448033877,0.2608196187735838,-0.9653875524693709,0.0008119674682083291,0.000755849113868833,0.0004925821747363565,0.0010634426766706886,0.0007518611817758375,0.0007569368129196622
5.0,1.0,22.23086923954578,39.919308752975546,37.181192533437795,50.54921331617324,0.0,2.7381162195375124,1.7001237992040084,39.919308752975546,0.324533310004708,0.3569782198705603,0.34215324108841544,0.319792984298082,0.15022295406654546,0.5005147046936556,-0.8657280348847568,0.21380824272552912,-0.976875649887242,0.2602304242748426,-0.9655465427837933,0.02994038953953025,-0.9995516860444092,0.28865275832079057,-0.9574338541715555,0.31693122646039473,-0.9484485213728312,0.0005274277029201357,0.000527099679217713,0.000407829665967086,0.0007857116121599006,0.0006564913681543775,0.0006404259124046523
5.0,1.0,13.854924066885292,39.25599770985829,41.58469533868316,48.2850353637224,0.0,2.328697628824701,10.386638042486291,39.25599770985829,0.3400243214295527,0.3224087189574305,0.3342695460805716,0.3501113372774443,0.1485366645020771,0.6049926795061099,-0.7962310328943588,0.20496143425830218,-0.9787700498415243,0.16502253936186495,-0.9862897959030914,0.04881845764529489,-0.9988076682690891,0.4108351641026942,-0.9117096401468574,0.2397311177666006,-0.9708393230470098,0.0005286051388875285,0.0005787940241894771,0.0004958766386167212,0.0006860226279759021,0.0006234367196675806,0.0007005689315455754
5.0,1.0,16.84506709235751,40.70370778440653,42.64754672312555,48.98685123888384,0.0,1.9438389387189088,10.480370570972289,40.70370778440653,0.32244508610790923,0.3443499529855496,0.30731355942461885,0.3372453463967626,0.14453951838591866,0.6454252158799006,-0.763823468287263,0.2813186812080767,-0.9596144015193543,0.248606790801634,-0.9686044928490228,0.140137105697883,-0.9901321081586135,0.3884848120244066,-0.9214551268653084,0.21439238319357595,-0.9767476163413857,0.000586650606292594,0.000474920109990506,0.0004581047190477244,0.000674068824475071,0.0006845171066753859,0.0005653720720069083
5.0,1.0,10.199973663271589,34.60783499534428,52.51973143642989,49.89954575850066,0.0,17.911896441085617,28.583171552301863,34.60783499534428,0.33454656524296106,0.3046025912378003,0.32490310631369756,0.33870017397167856,0.14939861558400494,0.6831807983799256,-0.7302492702666449,0.3203624103665656,-0.9472950575317725,0.013490059096253637,-0.9999090050127459,0.05918672493576173,-0.9982469291670165,0.5259521843041485,-0.8505141385219267,0.05493614117703358,-0.9984898699499044,0.0004304907503716026,0.0004154925203145857,0.00039999113967859116,0.0005541887760323046,0.0005197465683988159,0.0006398131083447111
6.0,1.0,28.56619334521675,45.85243782718452,42.46897515248903,58.53823093824833,0.0,3.383462674695387,1.2395414544399885,45.85243782718452,0.31095665024518715,0.312342992044688,0.30583176145985574,0.31962478382182535,0.14518465737007644,0.3916392355774927,-0.9201188559943098,0.1005404262269376,-0.9949329739706619,0.1590843759836015,-0.9872649904245101,-0.12040542971724463,-0.9927248019942917,0.16110937589749866,-0.9869365577370809,0.1397218765323325,-0.9901907882919753,0.000380534045499204,0.00041008315915114246,0.00034689146428235046,0.0004904148565394453,0.00045430146069236327,0.0004743361950545477
6.0,1.0,22.81072979285194,49.64227301692522,48.74065867414239,61.81085863894352,0.0,0.9016143427824622,1.793014296441905,49.64227301692522,0.33087202642894104,0.3540597217215783,0.3600234308045741,0.3537850809210443,0.16279980224705837,0.4560224751828276,-0.8899682590565392,0.005221969517238638,-0.9999863654242297,0.02095659786241724,-0.9997803863879471,-0.2056813485971978,-0.9786190182288704,0.1401650189712306,-0.9901281570871493,0.10911637532757167,-0.994028981788445,0.00038325862405574895,0.0004265332989419335,0.00030253040030814304,0.0006172753598505665,0.0004953322871443788,0.0005450519090572925
6.0,1.0,24.49744630078715,49.93450757997811,51.74957078367264,64.420581110889,0.0,1.8150632036946348,6.205385865469624,49.93450757997811,0.33128731184240523,0.3217017943897074,0.32428364846649255,0.30973884829193665,0.1524104864937211,0.3596374859325979,-0.9330921062317912,-0.0760077394225526,-0.9971072277081704,-0.10755151034782008,-0.9941995134890695,-0.3230124015371828,-0.9463947318393006,0.10267544398336331,-0.9947149105159826,-0.005447677549144275,-0.9999851612945666,0.0003016145154557388,0.0003394222900237053,0.00024173460429377446,0.00040616798728265746,0.0003248258952499587,0.0003741757494371002
