timestamp,gesture_type,angle_index,angle_middle,angle_ring,angle_pinky,angle_baseline1,angle_middle_to_ring,angle_base_middle_to_ring,angle_middle_to_baseline1,dis_index_tip_to_base,dis_middle_tip_to_base,dis_ring_tip_to_base,dis_pinky_tip_to_base,distancesAggregated,dirV_index_x,dirV_index_y,dirV_middle_x,dirV_middle_y,dirV_ring_x,dirV_ring_y,dirV_pinky_x,dirV_pinky_y,dirV_middle_base_x,dirV_middle_base_y,dirV_ring_base_x,dirV_ring_base_y,dot_index_middle,dot_index_ring,dot_index_pinky,dot_middle_ring,dot_middle_pinky,dot_ring_pinky
14.0,0.0,116.59815232420716,115.13185095818358,116.43550282460629,111.73226976535642,0.0,1.303651866422621,1.4033032733781938,115.13185095818358,0.1147195949267558,0.11242110702193893,0.10720377924082063,0.10698878296250915,0.058841722984558684,0.3123146384905951,-0.9499787190166361,0.33652136949064543,-0.9416758295061738,0.315010146876513,-0.9490883032494067,0.3917696872538163,-0.9200633196411251,0.9074425862880098,0.4201760971199194,0.8968803912592741,0.44227317776981595,0.0024744542127237423,0.0023490794848939345,0.0015357702760603331,0.002526425444791869,0.001655193696407764,0.0015682912057535248
14.0,0.0,116.59815232420716,115.13185095818358,116.43550282460629,111.73226976535642,0.0,1.303651866422621,1.4033032733781938,115.13185095818358,0.1147195949267558,0.11242110702193893,0.10720377924082063,0.10698878296250915,0.058841722984558684,0.3123146384905951,-0.9499787190166361,0.33652136949064543,-0.9416758295061738,0.315010146876513,-0.9490883032494067,0.3917696872538163,-0.9200633196411251,0.9074425862880098,0.4201760971199194,0.8968803912592741,0.44227317776981595,0.0024744542127237423,0.0023490794848939345,0.0015357702760603331,0.002526425444791869,0.001655193696407764,0.0015682912057535248
14.0,0.0,129.58742097446068,129.48584945170452,131.09039598566602,127.10817073655697,0.0,1.6045465339613703,6.183393216616903,129.48584945170452,0.10693352541309631,0.10152622751668391,0.09429259668195338,0.09418936378096879,0.05674683176850106,0.17633065043242785,-0.9843309919524412,0.17807535259092172,-0.9840168539205103,0.1504521123227943,-0.9886172979963527,0.21874537084149281,-0.975781975000265,0.8438808847184615,0.5365305698716398,0.8967617290247993,0.4425137301332609,0.0031188419734817846,0.002953147860019104,0.001992230345170045,0.0033646579691932773,0.002270120010109624,0.0021469090348240627
14.0,0.0,129.74903552916567,128.9084671312916,127.90676997834333,123.74325511561922,0.0,1.0016971529482908,1.9026073946834205,128.9084671312916,0.10712578545485084,0.10409008193574597,0.09911102466645992,0.09539522997742642,0.056250863080514364,0.18054896698816517,-0.9835659970329934,0.19495860807322887,-0.9808114707415229,0.21207538258095407,-0.9772533101008878,0.28246732329450225,-0.9592769210560834,0.8964609681244531,0.44312270606387183,0.9106787213816836,0.41311531855236483,0.0028936938174943805,0.0027708893688078717,0.0019313783522996175,0.003205133868544152,0.0022364504885992176,0.002145473700021938
14.0,0.0,129.6539659796842,129.01481914239244,127.97896819756679,121.3388638370258,0.0,1.0358509448252462,2.6968592851048765,129.01481914239244,0.11024100816521681,0.10457983067228356,0.10176945085686767,0.09974798375559027,0.05749961532027641,0.1552842523891111,-0.9878698299674683,0.1662942642813349,-0.9860761723452857,0.18409339773969371,-0.9829087551287022,0.2965146467894438,-0.9550283054649906,0.8780802181316005,0.4785134590854898,0.8996225749917152,0.4366683210003626,0.0028438211820756036,0.0027645722065283707,0.001961983403464984,0.0033108822550644876,0.0023527565442655906,0.002293228360507271
14.0,0.0,122.43715675670332,121.72300848562655,121.79903699637914,115.27466985597049,0.0,0.07602851075229675,3.7752339819221308,121.72300848562655,0.11215397641966283,0.10675026922120069,0.10013442380454957,0.09597484229313523,0.06001077828981865,0.22674640234819654,-0.9739538331061435,0.2388680679383368,-0.9710520305933179,0.237579322625586,-0.9713681410571214,0.34641310903309847,-0.9380820635157793,0.8572117550423808,0.5149640832302401,0.8892581963598778,0.4574055751811261,0.0023356615468390655,0.002298573048829411,0.001691166558508428,0.0027133428205168312,0.001999181360215376,0.001967108304842924
14.0,0.0,122.53071423564747,122.09935320305587,121.49470386525708,117.17548296825206,0.0,0.6046493377982286,6.402554484430103,122.09935320305587,0.11497021526454633,0.10670902757847257,0.10178993214923363,0.10051633852312518,0.06176664777509334,0.14467494084284452,-0.989479237524527,0.15212023326923776,-0.9883619957435195,0.16254187354459465,-0.9867016465703363,0.23639194641968653,-0.9716577832076023,0.7660494077339789,0.6427816930423735,0.8329501862481475,0.5533479802341166,0.002619168113856324,0.0025793285910289455,0.0018620311988648574,0.00318091165719992,0.002297625053827803,0.002264913593492681
14.0,0.0,111.33632245950967,110.92376999164628,110.55267269676068,107.20461402816933,0.0,0.3710972948838369,2.1627778748251374,110.92376999164628,0.11426060507750414,0.10864510853972857,0.10334281608607668,0.09822142486216255,0.062188565623766255,0.303200767009173,-0.9529266996390904,0.3100543002802806,-0.9507188495437048,0.3162054359403454,-0.9486907411173444,0.37107059605494414,-0.928604659014496,0.863905766292835,0.503653479056771,0.8822975508680146,0.47069207740549757,0.0025685295376121076,0.0024427438865757267,0.0018273124587437906,0.0027615556994984303,0.0020666729425098396,0.001966383347394185
14.0,0.0,126.90048351962393,126.44550452241006,126.82580434467395,123.95882746339142,0.0,0.3802998222623815,7.192095574353148,126.44550452241006,0.11311893135428305,0.10569407609578493,0.10034826862560482,0.1004573214608098,0.06245527599564198,0.06832711766761473,-0.9976629716448515,0.07624720361024538,-0.9970889448497651,0.06962741066951764,-0.9975730668394462,0.11943618060716343,-0.9928418800403078,0.7335846776933012,0.6795980581590971,0.8128960251820821,0.5824088359933868,0.0027855052882586077,0.0027592615349441045,0.0019266025932296316,0.0034040556064205483,0.00237776323963246,0.002354557989036723
14.0,0.0,128.3394675395458,128.11298672651824,127.47884316265427,122.87411682607369,0.0,0.6341435638631697,6.679097229622039,128.11298672651824,0.11123946111767787,0.10476115638410427,0.1006931049237212,0.1002902152748656,0.0622928604572707,0.08293656867007258,-0.9965548281841969,0.08687512815548912,-0.9962192088631735,0.0978956298008564,-0.9951966869246972,0.1774751810962204,-0.9841252766263368,0.6995250877777333,0.7146080405156064,0.7778924310709107,0.6283974583673843,0.002954741416059118,0.002882019733916333,0.0019894653422518637,0.00347819263372795,0.0024017704228818104,0.002345138482230169
